,scale_,min_
ABBV,0.01457293364315864,-1.5281931847642065
ACN,0.005766539066650157,-1.3822476017830638
AEP,0.030306761389169337,-2.141965946282218
AIZ,0.014183352664218338,-1.7287443000851672
ALLE,0.01915960392102978,-1.8013220173481885
AMAT,0.013058233338872354,-1.171490396023028
AMP,0.007679763832262619,-1.5028715474364953
AMZN,0.011612851066704543,-1.166615378907563
AVB,0.013424130292065371,-2.4455717023200747
AVY,0.01056274019426176,-1.3745311052418923
AXP,0.0132173357632813,-1.6146332894451272
BDX,0.011350292237205278,-2.115552689617542
BF-B,0.04014221065373236,-2.1824385791169743
BMY,0.04922259288923331,-2.8280408837586988
BR,0.013440064706561526,-1.456759992018321
CDW,0.011047707962717146,-1.285452103976462
CE,0.015546271661940706,-1.677099245423693
CHTR,0.0029289437731151915,-1.4046921557682697
CNC,0.028066235476340903,-1.498175679705051
CNP,0.09442438953338507,-2.075640430790746
COP,0.02350919936743874,-1.4891313649738764
CTAS,0.004986565544449739,-1.2744077283548332
DG,0.009548536743858055,-1.4734530397204908
DPZ,0.004030236490127455,-1.26135428085483
DRE,0.038620132871619556,-1.508498317926914
DXC,0.02401822018166262,-1.219277717611235
FB,0.006217165768196674,-1.376076367753523
GOOG,0.0007927138450105088,-1.3893821631643526
GPC,0.021900468675744047,-2.031382966258513
HIG,0.03987546522757791,-1.9887046337750562
HST,0.16401896006220537,-2.4837626741802814
JPM,0.015868454252784058,-1.6897039643804825
KR,0.04614471774131619,-1.8347451889422122
PG,0.018623762994883303,-2.0433091791961377
PPL,0.12720240736611718,-3.104592711278378
PRU,0.023587457753729793,-1.8207802565895457
RE,0.011462668188935682,-2.499019693152894
ROL,0.05893140380180043,-1.4347650298857086
ROST,0.01957865932556566,-1.5651634651016975
UNH,0.00420438173484315,-1.2874769748095396
URI,0.005723279301669277,-1.2480469258076496
V,0.009912864062897438,-1.470936256178169
VRSK,0.01168369301754446,-1.6744862216289293
XOM,0.03310953415688475,-1.9021222067848564
IVV,0.006363997115731166,-2.0341350623797663
IWM,0.013037307645577442,-2.138296748048549
EWU,0.12389285799103003,-3.2305490200294886
EWG,0.11203209024655317,-2.8681585246555303
EWL,0.07129833596917468,-2.706188376201368
EWQ,0.09752013619278664,-2.7691303480477156
IEUS,0.04757712289298759,-2.4418145602214203
EWJ,0.056336151530631214,-3.0817964197196304
EWT,0.04139754782412532,-1.8055116770721544
MCHI,0.03169756721195833,-2.0346768923436387
INDA,0.06822510531832919,-2.308917607938966
EWY,0.03549174762440843,-2.344000281611767
EWA,0.13787503878070761,-2.593458661885943
EWH,0.152023388302804,-3.104443879019321
EWZ,0.07128545000140216,-1.961306703218915
EWC,0.08314584254135542,-2.3562325047580397
IEMG,0.05351288816933405,-2.5681528460235254
LQD,0.047975713466339734,-5.413292733768684
HYG,0.06581529543308222,-4.633684243296962
SHY,0.2535354570899673,-20.805981697444956
IEF,0.06346433375329132,-6.678027643629019
TLT,0.027037784350607486,-3.509297281028901
SEGA.L,0.04733727810650889,-4.907692452154217
IAU,0.04185851593594087,-1.8497278415640865
SLV,0.12666244489118358,-2.4198860120619567
GSG,0.07581500693212372,-1.6012129919572327
ICLN,0.07695746124103903,-1.5250325357480397
IXN,0.038374456533931414,-1.503780168105632
IGF,0.08283677006621722,-3.2448159869303557
SPMV.L,0.038887808441228515,-2.2945751786113493
MVEU.L,0.07479431093718147,-3.2490649070556348
XLK,0.013984691493658719,-1.4594481476554755
XLF,0.07416526274490887,-2.043727739214086
XLV,0.021992991529337362,-2.128053694833735
XLE,0.033851353323242045,-1.712220882973006
XLY,0.013080723307952374,-1.75079431722251
XLI,0.031384457388143994,-2.3339288714823447
XLU,0.04389622721167052,-2.3514336783196947
XLP,0.044371427904046516,-2.548360800860401
XLB,0.03498638616058231,-2.1462403021163277
